Answer,Question,
1,a business in a purely competitive market has no control over price if it wants to sell its products,
0,a business schedules its hours to provide place utility,
0,"A business using the perpetual inventory system, with its detailed subsidiary records, does not need to take a physical inventory",
1,A C program begins with a section of preprocessor directives,
0,A camel was a clean food for the Israelites,
0,a canon is type of homophony,
0,"a career requires very little planning, education, and preparation",
1,A cashier's check is a form of check in which the bank is both the drawer and the drawee,
0,A cell can maintain a non-equilibrium steady state for a substance X only when some actively transporting mechanism can compensate for the passive movement of X and prevent the intracellular and extra cellular concentrations of X from changing with time,
0,A cell performs work by transporting a certain number of molecules along a concentration gradient,
1,a certified check guarantees that your account can cover the check,
1,A change in the cost of a resource used to make a good will affect the supply of the good.,
1,A change of the system from initial to final state can be achieved through many ways that differ from one another in the amount of work required,
0,a channel of distribution moves materials from consumers to manufacturers,
1,A character constant is enclosed in double quotes,
1,A check is a draft drawn on a banks and payable on demand.,
0,A chromosome is all the DNA that is used to make one protein.,
1,"a circus layout combines lots of elements-art, type, color- to deliberately create a busy jumbled image",
0,A client should never consider converting a traditional IRA to a Roth IRA either at or after normal retirement,
0,a company reaches the break-even point when it buys more merchandise than it sells,
0,a competitor's market position does not affect the company's success,
1,A conditional guarantor of collection differs from an absolute surety in that the surety is bound with the principal debtor as a primary obligation.,
1,a consumer may be aware of products but not make a purchase until the need exists,
1,A consumer's % daily values may be higher or lower than those shown on nutrition labels,
1,a cover letter should encourage you employer to read your resume and increase your chances for obtaining an interview,
0,"a credit union is a financial institution that serves individuals and businesses with a wide variety of accounts, loans and other financial services",
1,A creditor will have to exhaust all the possible legal procedures to try to collect from the principal debtor before he can collect from a conditional guarantor of collection.,
1,A cricket was a clean food for the Israelites,
1,"A critical factor in perception is relevance, which means the message connects on some personal level.",
1,A crowd is characterized social logically as a collective action,
0,A debtor filing for Chapter 7 bankruptcy must provide a list of all immediate family members because persons such as spouses may be liable for the bankrupt person's debts.,
1,a decision can be evaluated by determining the satisfaction it delivered,
1,"A decrease in the price of soda affects your real income, not your money income.",
0,A defined benefit plan can be amended into a DC plan False,
0,A defined benefit plan can not be terminated in favor of a defined contribution plan,
1,A defined benefit plan provides guaranteed benefits for its participants,
0,A defined benefit plan that is under-funded can be terminated by the plan sponsor,
1,A defined contribution plan has no PBCG insurance for its participants,
1,a demand curve demonstrates the relationship between price and the quantity demanded,
1,A diagonal divides a square into two isosceles right triangles,
0,A dissolve is the most common type of join,
0,A distribution that is one of a stream life annuity payments from a qualified plan is eligible for a rollover distribution,
0,a dividend is not actually a share of a company's profits,
1,A federal budget deficit measures the amount by which the federal spending exceeds total federal revenues.,
1,A fiduciary is anyone who has control and authority with regard to the retirement planning,
0,A fiduciary is only responsible for losses that they personally cause to a retirement plan,
0,a final consumer buys goods and services to produce and market other goods and services or for resale,
1,A financial/ retirement planner should always hold the needs of their clients above their own,
1,A firm faces two kinds of costs in the short run: fixed cost and variable cost.,
0,A focus group can be used to discover key consumer insights but not good for copy testing,
0,a follow-up letter should be sent to the employer after an interview only if you are offered a job,
0,A function that passes at least one parameter by address must pass them all by address,
0,A gas with a high molar mass will travel though a small opening faster than a gas with a low molar mass,
1,A genre is a category or type of music repertory,
1,A goat was a clean food for the Israelites,
1,A good experiment is one where both alpha and beta are low,
1,a good way to save successfully is to make saving a regular payment from each paycheck,
1,A greater percentage of Americans are covered by Social Security today than ever before,
1,A guitar is an example of a chordophone,
1,"a hetemrophpnic texture frequently occurs in music involving improvisation, such as jazz",
1,A hexose sugar and a pentose sugar would both be examples of monosaccharides.,
0,A higher minimum wage lowers the opportunity costs of staying in school.,
1,A higher price makes producers more willing and better able to increase quantity supplied.,
0,A histogram is like a bar graph except with a histogram the bars don't touch each other,
0,A hydrate is a compound that reacts violently in the presence of water,
1,"a key is a group of related tones with a common center, the tonic, toward which the other tones gravitate",
0,a kite has 2 pair of parallel sides,
0,A lamb is sacrificed instead of Isaac,
0,A laser guide star is a true star,
0,A leftward shift of the demand curve indicates that consumers are more willing and able to buy a good at each price.,
1,A life annuity is an appropriate benefit for the individual who wants the guarantee of the highest lifetime payment but who has no need to provide retirement income to a spouse or other dependent,
1,A limited amount of control structures are permissible in the main function to ensure that it is the main function which makes most of the function calls for a program,
1,a linear pair of angles share a common side,
1,A literal constant is an unnamed constant used to specify data,
1,"A living cell reduces its entropy at the expense of its environment, using information processing",
1,A local variable cannot be reference through its identifer outside of the function in which it is defined,
0,A lump sum distribution from a 403b cannot be rolled over into and IRA,
1,A major advantage to covering employees in a retirement plan is retention and loyalty,
1,A major criticism of the continental drift hypothesis was the apparent lack of a driving mechanism,
1,a major scale can begin on any of the twelve semitones of the octave,
1,A majority of the states have passed legislation establishing a cooling-off period during which the consumer may void a contract to purchase goods and services.,
0,A marriage squeeze occurs when too many eligible marriageable males exist in the population but not enough women,
0,A match-on-action and an eye-line match are essentially the same thing,
1,A meal manager should read through a recipe before he/she begins to prepare it,
0,A meal manager will generally need to prepare separate meals for a family member with health problems that affect food needs,
0,a measure of 132°.,
0,A mechanic's lien is also called an artisan's lien.,
0,A mechanic's lien is the most common lien on personal property,
0,A mediater settles disputes between management and labor by listening to both sodes and posing settlements on both parties,
0,A molecule that increases the pH of a solution is called an acid.,
0,A montage sequence is the same as montage editing,
1,A movement is a complete comparatively independent division of a large-scale work,
1,"a musical form based on a statement, a departure, and a restatement of the first idea is called binary",
1,A musical note is the symbolic representation of a sound with pitch and duration,
1,A natural energy can be so effective that it causes the extinction of it's prey or host.,
1,A need-satisfaction question can help move the sale forward.,
0,"A negotiable instrument is a promise by one party to pay a undefined sum of money to another party. There are two parties: the maker and the payee. While the amount to be paid may vary, the date of payment must be set at a specific time in the future.",
1,"A negotiable instrument may be transferred in two basic ways. If the instrument is made ""to the order"" of the payee, the payee must (1) endorse the instrument and (2) deliver the instrument to a third party. If the instrument is made ""to bearer,"" the party in possession of the instrument is required only to deliver it to transfer it.",
1,A nested loop is a repetive process contained inside of another repetitive process,
1,A non-qualified plan must include a risk of forfeiture to avoid constructive receipt,
0,A normal random variable is an example of a discrete random variable.,
0,"A note involves two parties, the maker and the payee. Payments must be on demand.",
1,A nucleotide has four parts,
1,A nutrient is a chemical substance in food that helps maintain the body,
1,A participant receiving a non-qualifying distribution from a roth IRA can withdraw up to the amount of accumulated contributions without income tax consequences,
0,A peeler is used to shred foods such as cheese,
0,a pentagon has 6 sides,
0,A person who is continuing to work past 70 1/2 at the employer where she has accumulated her 401k must begin distributions by the April after the year she turns 70 1/2,
1,A person's life-span goals change as she or he learns and grows,
1,A person's lifestyle and health play a major part in how much money will be needed for retirement,
1,a phrase is a component unit of a melody,
0,A piano trio is an ensemble of three pianos,
1,A piece of data is called logical if it conveys the idea of true or false,
1,A plate is always made up of a combination of continental and oceanic crust,
1,a popular way to transfer money electronically is through an automated teller machine,
0,A precipitate forms when two aqueous solutions react to form a product that cannot dissolve in water,
1,A primary difference between novice and expert teachers is the experts ability to gather information in a short time and use it in multiple ways.,
1,A priori knowledge is knowledge that is justified independently of experience.,
0,A process during which there is no heat transfer is called an isothermal process,
1,A product labeled with a nutritional claim such as high fiber must meet a standard definition,
1,"A products unit price is the cost per standard unit, weight, or measure",
1,A profit sharing plan may be integrated with SS to provide greater benefits for the highly compensated,
0,A profit sharing plan requires specific annual contributions on the part of the employer,
0,A prototype plan document is designed specifically for one specific plan,
0,A purine may bond with another purine,
1,A qualified plan provides an employer a tax deduction when contributions are made,
0,A racial group is defined primarily by cultural characteristics,
1,A random sample results when each possible sample of a given size has an equal chance of being selected,
1,A raw score that is 1 standard deviation above the mean of the raw score distribution will have a z score of 1,
1,a ray has one endpoint,
0,A reaction is at equilibrium when the rate of the forward and reverse reactions are unequal,
1,A religious organization marked by bureaucracy training highly codified beliefs and elaborate rituals is called Church,
0,A rise in consumer use of label information is prompting food manufacturer to stick with product recipes that have sold well for years,
0,A salesperson's performance evaluation based entirely on qualitative and quantitative items of measurement is an unfair method of assessment.,
1,A sample is a subset of a population,
1,A sand bar in a river is an example of a landform created by deposition,
0,a sharp lowers a musical tone y half a step,
1,"A short melodic, rhythmic, or harmonic pattern repeated throughout a musical work is called an obstinate",
1,A shortage puts upward pressure on price.,
0,A single piece of newspaper burns faster than a shredded piece,
1,a single product can fill more than one need,
1,A single type operation will generate a result of that same type,
1,a single-voiced texture is called monophony,
1,A skinfold test can help determine whether excess weight is due to fat or muscle,
1,A social program that encourages teenagers to stay in school and graduate is typically of the social problems perspective.,
1,A soleproprietor is fully responsible for all the firm's losses.,
0,A sound bridge is another way of describing a dialogue hook,
0,A sphere is rolling downhill. It is moving spontaneously from a position with a lower potential energy to one with a higher potential energy,
1,A spontaneous process is a physical or chemical change that occurs with no outside intervention,
1,a square is a regular polygon,
1,a square is an equilateral rectangle,
0,A street family attempts to uphold decent family values.,
0,A structure chart should be created after your program has been written,
1,A substance diffuses in the direction that eliminates its concentration gradient at a rate proportional to the magnitude of this gradient,
1,A substance does not change in temperature while it is undergoing a change in state,
1,A substantial proportion of people in less developed countries do not have access to safe drinking water.,
0,a successful budget requires very little accurate record keeping,
0,a supply curve and demand curve should never intersect,
0,A surety agreement must always be in writing to be effective.,
0,"A system is set to be in thermodynamic equilibrium when any of its properties such as temperature, pressure, volume etc change with time",
1,A target defined benefit plan is a defined contribution plan that looks like a defined benefit plan,
1,A teacher's expectation that all students can succeed greatly affects student's achievement.,
0,A teacher's religious views should have no influence on his or her philosophy of education.,
0,A tempo marking indicates the loudness of a piece of music,
1,A theory is tested by how well it describes and predicts reality.,
1,A theory that attempts to explain all types of criminal behavior is a general theory of crime.,
1,"A Thermodynamic system is separated from the rest of the universe by a membrane, which delimits a finite volume and through which heat or other forms of energy may pass",
1,"A thermodynamically unfavourable reaction can be driven by a favorable reaction, both reactions together having a net negative difference in the free energy",
0,A total of 1000 earthquakes are estimated to occur worldwide each year,
1,a trade publication is an example of an information service that a business could use to gain competitor information,
1,A translator system is in a steady state when both the driving forces acting on it and the rate of transport do not change over time,
0,a trapezoid is a parallelogram,
1,a triad is a chord made up of three tones,
0,a triangle can have 2 right angles,
0,a triton scale is made up of eight notes,
1,A user defined function may be called more than once in a program,
0,a utility company usually operates in a pure competition enviornment,
0,A variable declared in the local declaration section of a function can have the same identifier as one of the parameters of the same function,
1,A variable declared in the local declaration section of a function has a scope that extends until the end of the function,
1,a variety of world musics make use of pentatonic scales,
0,A weight management plan is unnecessary once a person has reached his/her weight goal,
0,A well written recipe should list ingredients in alphabetical order,
1,A working model can be a satisfactory substitute for demonstrating the product itself.,
0,A z distribution always is normally shaped,
0,About two-thirds of American eighth-grade students score at the proficient or advanced level on the National Assessment of Educational Progress in mathematics and science.,
0,Abraham is 85 when God first appears to him,
0,Abram and Sarai have to go to Goshen because of a famine in the land,
1,Abram is circumsized the age of 99,
0,Abram pretends to be Sarai's sister so that the pharaoh will not kill Abram,
1,Accelerated editing involves shortening the length of each consecutive shot,
1,"According to agency theory, event-causation describes events that are determined.",
1,According to Andrew Cherlin one cause of marriage deinstitutionalization is the change in norms about having children within the context of marriage and the family,
0,according to apa children under 10 usually do not understand the persuasive intent of advertising,
1,"According to attachment theory, delinquent behavior raises when nonsecure attachments are created.",
0,"According to differential opportunity theory, a lower class youth who becomes addicted to drugs is probably involved in a conflict subculture.",
1,"According to Ferracuti and Wolfgang, violence may be a learned form of adaptation of certain life circumstances.",
1,"According to general strain theory, strain may occur when you are presented with negatively valued stimuli.",
1,"According to Kierkegaard, there is a difference between knowing about God and having faith in him.",
1,"According to Nielson, 77% of wireless service subscribers in the US own a smart phone device in the fourth quarter of 2014",
0,"According to Plato and the traditional definition of knowledge, having a true belief is sufficient to have knowledge.",
1,"According to Plato, since justice is not something that can be perceived, we can only have different opinions about it, but not knowledge.",
0,"According to Plato, there is no truth about justice, for everyone has a different opinion about it.",
0,according to prof don shultz the goal of IMC is to generate longterm financial returns and build short-term brand and shareholder value,
1,"According to psychological theories, the primary unit of analysis is the individual.",
0,"According to routine activities theory, the presence of a capable guardian is a necessary element for a crime to occur.",
1,"According to rules theory, romantic partners should acknowledge each other's individual identities and lives beyond the relationship",
1,"According to Sartre, ""transcendence"" refers to the fact that our lives are defined by the possibilities we face and the choices we make.",
1,according to the american marketing association advertising is a marketing activity/ process for creating communicating...,
1,"According to the authors of How to Hire and Develop Your Next Top Performer, about half of the people working in sales should be doing something else.",
1,"According to the book, the population of developed countries will remain somewhat stable over the next 40-50 years.",
0,"According to the book, the population of developing countries will decrease in the next 40-50 years.",
1,"According to the circular-flow model, the flows of resources and products are supported by the flows of income and expenditure.",
0,"According to the compatibilist, we cannot be morally responsible for actions which are determined.",
1,According to the course standards a for loop should only be used with counter-controlled processes,
1,According to the course standards if all 3 expressions are not needed in a for loop then you should instead make use of a while loop for your pretest looping needs,
1,"According to the graph in the book, higher rates of illiteracy are directly related to higher rates of fertility.",
0,"According to the phase diagram of carbon dioxide, it is liquified at critical temperature and pressure",
1,"According to the principle of similarity, if you could construct your mate, it's likely that your mate would look, act, and think very much like you.",
1,"According to the second law of thermodynamics, molecules spontaneously move from a region of higher concentration to one of lower concentration.hence, and entropy increase powers the transport across the membrane",
0,"According to the second law of thermodynamics, the amount of heat lost by the hot body must be equivalent to that gained by the cold body",
0,"According to the sign convention, if heat is lost by a system then heat is positive",
0,"According to the Statutes of Fraud, mortgages may be either oral or in writing.",
0,According to the text fundamental beliefs cannot be rationally justified.,
1,"According to the United Nation's Human Development Index, Australia is one of the best countries in the world to live in.",
1,"According to utilitarianism, the morality of a particular action can change over time if the consequences change.",
0,"According to your text, a metaphysical idealist is a person who is very optimistic.",
0,"According to your text, someone who embraces the philosophy of ethical egoism is by definition someone who wants to be the center of attention and who has an inflated ego.",
0,"According to your text, the principle of Ockham's razor lends support to the dualist.",
0,According to Zygmont Bauman the perspective on globalization involves decreasing liquidity,
0,"Active transport is a process in which substrates are transported downhill, against the concentration gradient",
1,Active transport is mediated by transporters coupled to an energy source,
1,Active transport is the process that can transfer solute uphill across a membrane,
0,Adam and Eve were the ones who created marriage,
1,Adam's sin was passed to all of his descendants,
1,Additional local variables can be defined the local declaration section of a function,
0,adjusting a budget will be easier if you attempt to changed fixed spending rather than flexible spending,
1,Adjusting the concentrations of either the reactants or products in a reaction puts stress on the equilibrium,
1,"ads that open with questions or dubious or ambiguous statements are designed to create curiosity,",
0,Adults need more protein per pound of body weight than children because they are larger,
1,advertisers can use fear to motivate customers to buy a product,
1,Advertising is any form of persuasive communication....,
1,advertising is part of marketing,
0,advertising that is misleading is always illegal,
1,Africa has most of the world's poor nations and Tanzania is one of Africa's poorest nations.,
0,"After delivering a baby, women should focus on fitness activities such as jogging and jumping",
0,"After lagging men for many years, women now hold a similar number of jobs in science and mathematics fields.",
0,"After many years of delay, recently the Supreme Court has made corporal punishment (swats) in our schools unconstitutional and therefore illegal.",
0,"After retirement, moving directly to Florida because it is warmer is good advice to give your client",
0,"After secured creditors are paid, all other creditors share the proceeds of the debtor's estate equally.",
0,"After the retirement plan is completed and presented to the client(s), the planner's work is done",
1,Agapic love is compassionate and selfless,
1,AIDS is the primary cause of death in South Africa.,
1,AIDS kills 500 Kenyans a day.,
0,All 4 covenants of the Old Testament would be fulfilled during Holy Week,
0,All arrays sent to a given function must be of the same defined size,
1,All atoms with the same number of protons are given the same name,
0,All cells of the body divide by mitosis.,
1,All code found in the executable statement and local declaration sections of the main function is considered to be the body of the function,
0,All criminal behavior is deviant.,
0,"All determinists believe that everything that happens in the world is the result of a benevolent, purposeful plan.",
0,All elements of one array can be assigned to another through the use of the assignment operator and the name of each array (x = y),
0,All films have narrators,
1,"All financial statements are identified by the name of the business, the title of the statement, and the date or period of time",
0,All fish that had scales and no fins were considered clean for the Israelites,
0,All frequency distributions should be of grouped scores,
0,All function that utilize pass by address are void,
1,All income statement accounts will be closed at the end of the year,
1,All ions have a charge,
1,All Mauritanian peoples are unreached.,
1,All messages involve content and relationship dimensions.,
0,All minerals exhibit cleavage,
1,All opinions are false is an example of a self-referential inconsistency.,
0,all pentatonic scales use the same notes and thus sounds the same,
0,All producers use only two categories pf resources: labor and raw materials.,
1,all promotional methods involve communication with customers,
0,All psychotic people commit crimes at some point in their lives.,
0,All radio telescopes are refracting telescopes,
1,All real processes are irreversible,
0,All religious philosophers necessarily hold to the divine command theory of ethics.,
0,All retirement plans must have an annual audit,
0,All scientific predictions are correct,
0,All suffering is rooted in the devil,
1,All the natural freshwater on Earth comes from a distillation process.,
0,All while loops should be converted into for loop,
0,All woodwind instruments are made of wood,
0,All world musics feature a strong regular pulse or beat,
1,"Allegro is an Italian term for a fast, cheerful tempo",
0,Allowance for Doubtful Accounts is a liability account,
1,almost all deposits are insured by a federal government agency,
1,Almost half the children living in a household headed by a female live in poverty.,
0,"Although cheating in school has received much media attention, it only occurs with moderate frequency.",
1,"although common in jazz, inflecting a pitch is in most western music",
0,"Although competition typically ensures the most efficient use of resources, an individual firm would perfer the higher price and higher profit of monopoly.",
0,"Although service-learning activities are popular with students, most believe it keeps them from working hard on academic chores.",
0,"Although wealth is distributed unevenly, it is one of Africa's richest nations",
1,"Although women make up the vast majority of teachers, only one out of five school superintendents is a woman.",
1,Always move a knife blade away from the body when cutting,
1,Ambiguity is tolerated more in low-uncertainty-avoidance cultures than in high-uncertainty-avoidance cultures.,
0,American marketing association 2009 defined mobile marketing as as a set of practices that enables organizations to communicate and engage with their audience in an interactive and relevant manner through any mobile device or network.,
1,American teens claim teachers contribute most to our society's well-being,
1,Amphepathic molecules have both a polar and nonpolar end,
0,An absorption spectrum is also called a bright-line spectrum,
0,An achromatic lens brings all colors to the same focus,
1,an acute angle has measure less than 90 degrees,
1,an acute triangle can also be scalene,
1,An advertiser should have data on file to substantiate any claims it makes in its advertisements,
1,An array is a collection of elements of the same data type,
1,An artisan;s (possessory) lien attaches to personal property.,
1,An atom gained an electron. It is now ionized,
0,An atom is ionized if one of its electrons jumps to a higher energy level in the atom,
1,An earthquake is the vibration of the earth produced by the rapid release of energy,
1,An earthquake occurs at the moment of Jesus' death,
1,"An economic system is the set of mechanisms and institutions that resolves the ""what, how, and for whom.""",
1,An effective sales demonstration may give the prospect a temporary feeling of ownership.,
0,an effective salesperson meets with the customer only once,
0,An elastic collision is one where two colliding particles both loose some of their kinetic energy,
0,An element's molar mass is equivalent to the atomic number of the element,
1,an employee should always do job tasks well even if he or she does not plan to stay with the company,
0,An entrepreneur gpes into business to earn a profit by supplying the market with a product whether or not there is a demand for that market.,
0,An excited atom lost an electron from the atom to its surroundings,
0,"An exhaustible resource can be drawn upon indefinitely, as long as it is used wisely.",
1,An explicit type conversion is the programmer taking control and determining the data type of an operand in an expression,
1,An expression always reduces to a single value,
1,An ice ring will keep punch colder than ice cubes,
0,An igneous rock with a mixed texture of coarse crystals (phenocrysts) surrounded by fine crystals (groundmass) is termed aphanatic,
0,An important characteristic of all stationary states is their stability,
1,"An important characteristic of thermodynamics potentials is that, by keeping constant certain variables and changing others, we can find how the energy exchange between the system and the environment occurs",
0,An increase in availability or quality of resources shifts the PPF inward,
1,An increase in the accounts receivable turnover may be due to an improvement in the collection of receivables or to a change in the granting of credit and/or in collection prices,
1,"An index number compares the value of a variable in a particular year, or reference year, to the current value for that variable.",
1,An individual's social security benefit is determined based on their PIA and AIME,
1,An infinite loop is a logical error,
0,an inscribed circle of a triangle passes through all three vertices of a triangles,
1,An installment note is a debt that requires the borrower to make equal periodic payments to the lender for the term of the note,
0,An integrated theory is one the proposes a single identifiable cause for all serious criminal behavior.,
0,An intense variable is a physical quantity whose value depends on the amount of the surface,
1,"An interval scale is like a ratio scale, except that the interval scale doesn't possess an absolute zero point",
0,An ionic equation that includes only the particles that participate in the reaction is called a complete ionic equation,
0,An iris is a moving circular mask that is commonly used today,
0,An isobaric process occurs at constant volume,
0,an isosceles triangle cannot be a right triangle,
0,An iteration is one evaluation of the loop control expression,
0,An obstinate is the smallest fragment of a theme that forms a melodic-rhythmic unit,
1,an obtuse triangle has one obtuse angle,
1,"An organism is an intelligent, self controlled, chemical machine that is self regulated by molecular signals, molecular receptors, and transducers of information",
0,An outward shift in the PPF reflects an economic downturn.,
0,An outward shift of the PPF reflects as economic downturn.,
1,anabolic reactions are endergonic,
0,Anarchists all accepted the teachings of Marx.,
1,Anarchists believe that individuals would be free only when the state is abolished.,
0,Angels have free will but no body and spirit,
0,Anger and fear are examples of positive affective states.,
1,Anhydrous is the term used to describe a compound that does not have water molecules bound to its atoms,
1,Annie thought the movie was great even though the beginning was boring. Annie experienced the recency effect.,
0,Another term for time communication is haptics.,
0,"Any file extension (.dat, .txt) of the external file being accessed is optional in the fopen function call",
0,Any manipulation that produces the gradient K+ will increase the equilibrium potential forK+,
1,Any movement along the PPF (production possibilities frontier) involves giving up some of one good to get more of the other.,
1,Any thermodynamically unfavourable reaction can be changed into a favorable one by coupling it with the hydrolysis of a sufficient number of ATP molecules,
1,applicants should arrive 10-15 minutes early for their interview,
0,Applied research is a first step toward technological development.,
0,"Approximately half of public school financing comes from the federal government, with the rest coming from state and local governments.",
1,Aquaporin is an example of active transport,
1,Arbitration boards were created by many industries to resolve customer complaints,
1,Argentina is a nation with enormous potential that has been sabotaged by terrible political leadership,
1,Argentinean prison ministry has revolutionized nation's jails.,
1,"Array declarations will determine the type, name, and size of the array",
1,Arrays can be passed in two ways; by individual elements or the whole array,
1,Arrays must be declared and defined before they can be used,
1,Artists who worked in the Impressionist style attempted to capture the initial fleeting effect that occurs when one first sees an object.,
1,"As a descending plate reaches depths of 100 to 150 km, magma is generated in the overlying mantle wedge",
0,"As a person grows older, needs for all nutrients decrease",
1,"As compared to coarse-grained igneous rocks, fine-grained igneous rocks cool and solidify more quickly",
0,"As N increases, the variability of the sampling distribution of the mean increases",
1,"As proglandins levels rise, we have more pain and inflammation",
1,"As the degrees of freedom increase, the t distribution becomes more like the z distribution",
0,"As the number of micro states increases, the entropy decreases",
0,"As the price if a resoure rises, form are more willing to inploy that resource because they fear that other firms will buy it before it rises more",
1,"as the price of a product increases, producers will manufacture more of the product",
0,"As the quality of audiovisual presentations improves, the salesperson's importance will diminish.",
1,"As the value of r increases, the proportion of variability of Y that is accounted for by X increases",
0,"As their price falls, producers increase their quantity supplied and consumers increase their quanity demanded",
0,Asking a gas station attendant for directions is not considered interpersonal communication,
0,Assets in aterminated plan in excess of those needed to pay benefits always revert 100% back to the plan sponsor,
0,Assignats were backed by tax revenues.,
1,Associated with a case label is zero or more executable statements,
1,"Assuming both are typical stars, a bluer star is brighter than a redder star of the same size",
1,"Assuming both are typical stars, a hotter star is brighter than a cooler star of the same size",
1,"At a subduction zone, the down-going (subducting) plate is always composed of oceanic lithosphere",
0,At constant volume VdP=0,
0,"At first, all 11 brothers wanted to kill Joseph",
0,"At high temp, the cholesterol makes membranes more fluid",
1,"At present, an interactive component such as a website is indispensable to any successful advertising campaign that tries to engage young consumers and building a good brand relationship with them.",
0,"At the Council of Trent, the Catholic Church agreed to compromise with Protestants.",
0,Athletes should take nutrient supplements to help meet their increased nutrient needs,
1,Atomic disorder in a gaseous state is greater than in a liquid state,
0,Atoms can be converted into others.,
0,Atoms can be destroyed.,
1,Atoms can be rearranged to form different molecules.,
1,Atoms cannot be created.,
0,ATP can be synthesized when the proton concentration is the same on both sides of the inner mitochondrial membrane,
0,ATP hydrolysis is an endergonic process,
1,ATP is made during the process of chemiosmosis,
0,ATP is the predominant source of energy for chemical reactions in all living cells and is usually present at fairly low concentrations,
1,ATP phosphorylates the transporter only in the presence of k+,
1,ATP synthase can work in only one direction transporting protons from the intermembrane space to the matrix,
0,Augustine follow the heresy of Arianism before he converted,
